y_plus,k,ω,λ
0.0,2.49e-34,3.557142857142857e-34,1.0
0.00243,7.97e-7,1.1385714285714287e-6,1.0
0.0121,1.99e-5,2.842857142857143e-5,1.0
0.034,0.000156,0.00022285714285714286,1.0
0.0728,0.000713,0.0010185714285714286,1.0
0.134,0.00238,0.0034000000000000002,1.0
0.221,0.00647,0.009242857142857143,1.0
0.34,0.0152,0.021714285714285717,1.0
0.493,0.0315,0.045000000000000005,1.0
0.68,0.059,0.08428571428571428,0.999
0.901,0.102,0.1457142857142857,0.999
1.16,0.165,0.23571428571428574,0.998
1.44,0.252,0.36000000000000004,0.996
1.77,0.369,0.5271428571428571,0.993
2.12,0.52,0.7428571428571429,0.988
2.52,0.709,1.012857142857143,0.98
2.94,0.937,1.3385714285714287,0.969
3.4,1.21,1.7285714285714286,0.954
3.89,1.51,2.1571428571428575,0.935
4.42,1.85,2.6428571428571432,0.91
4.98,2.21,3.1571428571428575,0.88
5.57,2.59,3.7,0.845
6.2,2.96,4.228571428571429,0.805
6.86,3.33,4.757142857142857,0.762
7.56,3.69,5.271428571428571,0.715
8.29,4.01,5.728571428571429,0.667
9.05,4.31,6.157142857142857,0.618
9.85,4.56,6.514285714285714,0.569
10.7,4.79,6.842857142857143,0.522
11.5,4.97,7.1000000000000005,0.476
12.4,5.12,7.314285714285715,0.433
13.4,5.24,7.485714285714287,0.393
14.3,5.32,7.6000000000000005,0.356
15.3,5.38,7.685714285714286,0.323
16.4,5.42,7.742857142857143,0.292
17.4,5.44,7.771428571428572,0.264
18.5,5.44,7.771428571428572,0.239
19.7,5.43,7.757142857142857,0.217
20.9,5.41,7.7285714285714295,0.196
22.1,5.38,7.685714285714286,0.179
23.3,5.34,7.628571428571429,0.163
24.6,5.3,7.571428571428572,0.148
25.9,5.25,7.500000000000001,0.136
27.2,5.2,7.42857142857143,0.124
28.6,5.15,7.3571428571428585,0.114
30.0,5.1,7.285714285714286,0.105
31.4,5.05,7.214285714285714,0.0972
32.9,5.0,7.142857142857143,0.0901
34.4,4.95,7.071428571428572,0.0837
35.9,4.9,7.000000000000001,0.078
37.5,4.85,6.928571428571429,0.0729
39.1,4.81,6.871428571428571,0.0683
40.7,4.77,6.814285714285714,0.0641
42.4,4.72,6.742857142857143,0.0604
44.1,4.69,6.700000000000001,0.0571
45.9,4.65,6.642857142857144,0.0541
47.6,4.61,6.585714285714286,0.0514
49.4,4.58,6.542857142857144,0.0489
51.3,4.54,6.485714285714286,0.0467
53.1,4.51,6.442857142857143,0.0446
55.0,4.48,6.400000000000001,0.0428
57.0,4.46,6.371428571428572,0.041
58.9,4.43,6.328571428571428,0.0395
60.9,4.4,6.2857142857142865,0.038
63.0,4.38,6.257142857142857,0.0367
65.0,4.35,6.214285714285714,0.0354
67.2,4.33,6.185714285714286,0.0343
69.3,4.31,6.157142857142857,0.0332
71.5,4.29,6.128571428571429,0.0322
73.7,4.27,6.1,0.0312
75.9,4.25,6.071428571428572,0.0303
78.1,4.23,6.042857142857144,0.0295
80.4,4.22,6.0285714285714285,0.0287
82.8,4.2,6.000000000000001,0.028
85.1,4.18,5.9714285714285715,0.0272
87.5,4.17,5.957142857142857,0.0266
90.0,4.15,5.92857142857143,0.0259
92.4,4.13,5.9,0.0253
94.9,4.12,5.885714285714286,0.0247
97.4,4.11,5.871428571428572,0.0241
100.0,4.09,5.842857142857143,0.0236
103.0,4.08,5.828571428571429,0.0231
105.0,4.06,5.8,0.0226
108.0,4.05,5.785714285714286,0.0221
111.0,4.04,5.771428571428572,0.0216
113.0,4.03,5.757142857142858,0.0212
116.0,4.01,5.728571428571429,0.0207
119.0,4.0,5.714285714285714,0.0203
122.0,3.99,5.700000000000001,0.0199
124.0,3.98,5.685714285714286,0.0195
127.0,3.96,5.6571428571428575,0.0191
130.0,3.95,5.642857142857143,0.0188
133.0,3.94,5.628571428571429,0.0184
136.0,3.93,5.614285714285715,0.0181
139.0,3.92,5.6000000000000005,0.0177
142.0,3.91,5.585714285714286,0.0174
145.0,3.9,5.571428571428572,0.0171
148.0,3.88,5.542857142857143,0.0168
152.0,3.87,5.528571428571429,0.0165
155.0,3.86,5.514285714285714,0.0162
158.0,3.85,5.500000000000001,0.0159
161.0,3.84,5.485714285714286,0.0156
164.0,3.83,5.4714285714285715,0.0153
168.0,3.82,5.457142857142857,0.0151
171.0,3.81,5.442857142857143,0.0148
174.0,3.8,5.428571428571429,0.0146
178.0,3.79,5.414285714285715,0.0143
181.0,3.78,5.4,0.0141
185.0,3.76,5.371428571428572,0.0138
188.0,3.75,5.357142857142858,0.0136
192.0,3.74,5.342857142857143,0.0134
195.0,3.73,5.328571428571429,0.0132
199.0,3.72,5.314285714285715,0.013
202.0,3.71,5.300000000000001,0.0127
206.0,3.7,5.2857142857142865,0.0125
210.0,3.69,5.271428571428571,0.0123
213.0,3.68,5.257142857142858,0.0122
217.0,3.67,5.242857142857143,0.012
221.0,3.66,5.2285714285714295,0.0118
224.0,3.64,5.2,0.0116
228.0,3.63,5.185714285714286,0.0114
232.0,3.62,5.171428571428572,0.0113
236.0,3.61,5.1571428571428575,0.0111
240.0,3.6,5.142857142857143,0.011
244.0,3.59,5.128571428571429,0.0108
248.0,3.58,5.114285714285715,0.0106
252.0,3.57,5.1000000000000005,0.0105
256.0,3.56,5.085714285714286,0.0103
260.0,3.55,5.071428571428571,0.0102
264.0,3.53,5.042857142857143,0.01
268.0,3.52,5.028571428571429,0.0099
272.0,3.51,5.014285714285714,0.00976
276.0,3.5,5.0,0.00963
280.0,3.49,4.985714285714287,0.0095
285.0,3.48,4.9714285714285715,0.00938
289.0,3.47,4.957142857142857,0.00925
293.0,3.46,4.942857142857143,0.00913
298.0,3.44,4.914285714285715,0.00901
302.0,3.43,4.9,0.00889
306.0,3.42,4.885714285714286,0.00878
311.0,3.41,4.871428571428572,0.00866
315.0,3.4,4.857142857142858,0.00855
320.0,3.39,4.842857142857143,0.00844
324.0,3.38,4.828571428571428,0.00833
329.0,3.36,4.8,0.00823
333.0,3.35,4.7857142857142865,0.00813
338.0,3.34,4.771428571428571,0.00802
342.0,3.33,4.757142857142857,0.00792
347.0,3.32,4.742857142857143,0.00783
352.0,3.31,4.728571428571429,0.00773
356.0,3.3,4.714285714285714,0.00764
361.0,3.28,4.685714285714286,0.00755
366.0,3.27,4.671428571428572,0.00747
370.0,3.26,4.6571428571428575,0.00738
375.0,3.25,4.642857142857143,0.00729
380.0,3.24,4.628571428571429,0.00721
385.0,3.23,4.614285714285715,0.00713
390.0,3.21,4.585714285714286,0.00705
395.0,3.2,4.571428571428572,0.00697
400.0,3.19,4.557142857142857,0.0069
405.0,3.18,4.542857142857144,0.00682
410.0,3.17,4.5285714285714285,0.00675
415.0,3.15,4.5,0.00668
420.0,3.14,4.485714285714286,0.00661
425.0,3.13,4.4714285714285715,0.00654
430.0,3.12,4.457142857142857,0.00647
435.0,3.11,4.442857142857143,0.0064
440.0,3.09,4.414285714285715,0.00633
445.0,3.08,4.4,0.00627
450.0,3.07,4.385714285714286,0.0062
456.0,3.06,4.371428571428572,0.00614
461.0,3.05,4.357142857142857,0.00608
466.0,3.03,4.328571428571428,0.00602
471.0,3.02,4.314285714285715,0.00596
477.0,3.01,4.3,0.00591
482.0,3.0,4.285714285714286,0.00585
488.0,2.98,4.257142857142857,0.00579
493.0,2.97,4.242857142857144,0.00573
498.0,2.96,4.228571428571429,0.00568
504.0,2.95,4.214285714285714,0.00562
509.0,2.94,4.2,0.00557
515.0,2.92,4.171428571428572,0.00551
520.0,2.91,4.1571428571428575,0.00546
526.0,2.9,4.142857142857143,0.00541
531.0,2.89,4.128571428571429,0.00536
537.0,2.87,4.1000000000000005,0.00531
543.0,2.86,4.085714285714285,0.00526
548.0,2.85,4.071428571428572,0.00521
554.0,2.84,4.057142857142857,0.00517
560.0,2.82,4.0285714285714285,0.00512
566.0,2.81,4.014285714285714,0.00508
571.0,2.8,4.0,0.00503
577.0,2.79,3.985714285714286,0.00499
583.0,2.77,3.9571428571428573,0.00495
589.0,2.76,3.9428571428571426,0.0049
595.0,2.75,3.928571428571429,0.00486
600.0,2.74,3.914285714285715,0.00482
606.0,2.72,3.885714285714286,0.00478
612.0,2.71,3.8714285714285714,0.00474
618.0,2.7,3.8571428571428577,0.0047
624.0,2.69,3.842857142857143,0.00467
630.0,2.67,3.8142857142857145,0.00463
636.0,2.66,3.8000000000000003,0.00459
642.0,2.65,3.785714285714286,0.00456
648.0,2.64,3.771428571428572,0.00452
654.0,2.62,3.7428571428571433,0.00448
660.0,2.61,3.7285714285714286,0.00445
667.0,2.6,3.714285714285715,0.00441
673.0,2.58,3.685714285714286,0.00438
679.0,2.57,3.6714285714285713,0.00435
685.0,2.56,3.6571428571428575,0.00431
691.0,2.55,3.642857142857143,0.00428
698.0,2.53,3.6142857142857143,0.00424
704.0,2.52,3.6,0.00421
710.0,2.51,3.585714285714286,0.00418
716.0,2.49,3.557142857142858,0.00414
723.0,2.48,3.542857142857143,0.00411
729.0,2.47,3.528571428571429,0.00408
736.0,2.46,3.5142857142857147,0.00405
742.0,2.44,3.4857142857142858,0.00402
748.0,2.43,3.471428571428572,0.00399
755.0,2.42,3.4571428571428573,0.00396
761.0,2.4,3.428571428571429,0.00393
768.0,2.39,3.4142857142857146,0.0039
774.0,2.38,3.4,0.00387
781.0,2.37,3.385714285714286,0.00385
787.0,2.35,3.3571428571428577,0.00382
794.0,2.34,3.342857142857143,0.00379
800.0,2.33,3.3285714285714287,0.00377
807.0,2.31,3.3000000000000003,0.00374
814.0,2.3,3.2857142857142856,0.00372
820.0,2.29,3.271428571428572,0.00369
827.0,2.28,3.257142857142857,0.00367
834.0,2.26,3.2285714285714286,0.00365
840.0,2.25,3.2142857142857144,0.00362
847.0,2.24,3.2000000000000006,0.0036
854.0,2.23,3.185714285714286,0.00358
861.0,2.21,3.1571428571428575,0.00356
867.0,2.2,3.1428571428571432,0.00354
874.0,2.19,3.1285714285714286,0.00352
881.0,2.17,3.1,0.0035
888.0,2.16,3.0857142857142863,0.00348
895.0,2.15,3.0714285714285716,0.00345
902.0,2.14,3.0571428571428574,0.00343
908.0,2.12,3.028571428571429,0.00341
915.0,2.11,3.0142857142857142,0.00339
922.0,2.1,3.0000000000000004,0.00337
929.0,2.08,2.9714285714285715,0.00335
936.0,2.07,2.9571428571428573,0.00333
943.0,2.06,2.942857142857143,0.00331
950.0,2.05,2.9285714285714284,0.00328
957.0,2.03,2.9,0.00326
964.0,2.02,2.885714285714286,0.00324
971.0,2.01,2.8714285714285714,0.00322
978.0,2.0,2.857142857142857,0.0032
986.0,1.98,2.8285714285714287,0.00318
993.0,1.97,2.8142857142857145,0.00316
1000.0,1.96,2.8000000000000003,0.00314
1010.0,1.94,2.7714285714285714,0.00312
1010.0,1.93,2.757142857142857,0.0031
1020.0,1.92,2.742857142857143,0.00308
1030.0,1.91,2.7285714285714286,0.00306
1040.0,1.89,2.7,0.00305
1040.0,1.88,2.685714285714286,0.00303
1050.0,1.87,2.6714285714285717,0.00301
1060.0,1.86,2.6571428571428575,0.00299
1060.0,1.84,2.628571428571429,0.00298
1070.0,1.83,2.6142857142857148,0.00296
1080.0,1.82,2.6,0.00294
1090.0,1.81,2.585714285714286,0.00292
1090.0,1.79,2.5571428571428574,0.00291
1100.0,1.78,2.542857142857143,0.00289
1110.0,1.77,2.528571428571429,0.00287
1120.0,1.76,2.5142857142857147,0.00285
1120.0,1.74,2.4857142857142858,0.00284
1130.0,1.73,2.4714285714285715,0.00282
1140.0,1.72,2.4571428571428573,0.0028
1150.0,1.71,2.442857142857143,0.00279
1150.0,1.7,2.428571428571429,0.00277
1160.0,1.68,2.4,0.00275
1170.0,1.67,2.3857142857142857,0.00274
1180.0,1.66,2.3714285714285714,0.00272
1180.0,1.65,2.357142857142857,0.0027
1190.0,1.63,2.3285714285714287,0.00268
1200.0,1.62,2.3142857142857145,0.00267
1210.0,1.61,2.3000000000000003,0.00264
1210.0,1.6,2.285714285714286,0.00262
1220.0,1.59,2.271428571428572,0.0026
1230.0,1.57,2.242857142857143,0.00258
1240.0,1.56,2.2285714285714286,0.00256
1240.0,1.55,2.2142857142857144,0.00254
1250.0,1.54,2.2,0.00252
1260.0,1.53,2.185714285714286,0.0025
1270.0,1.51,2.1571428571428575,0.00248
1270.0,1.5,2.142857142857143,0.00246
1280.0,1.49,2.1285714285714286,0.00244
1290.0,1.48,2.1142857142857143,0.00241
1300.0,1.47,2.1,0.00239
1310.0,1.46,2.085714285714286,0.00238
1310.0,1.45,2.0714285714285716,0.00236
1320.0,1.43,2.0428571428571427,0.00234
1330.0,1.42,2.0285714285714285,0.00232
1340.0,1.41,2.0142857142857142,0.0023
