y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
116,2.253333333,2.253333333,2.253333333,3.797992134,1.149207864,1.834566176
813,2.393333333,2.393333333,2.393333333,4.26446851,1.185755428,1.760414105
1340,0.94,0.94,0.94,1.492084052,0.605208565,0.710939684
425,1.406666667,1.406666667,1.406666667,2.309421872,0.82031188,1.074866708
849,0.598666667,0.598666667,0.598666667,0.901152067,0.455587825,0.485817182
10.5,3.366725651,3.366377593,3.366436578,8.311300886,0.210845738,1.604699553
908,1.413333333,1.413333333,1.413333333,2.349407281,0.810297012,1.076531844
523,0.478666667,0.478666667,0.478666667,0.603561769,0.387998601,0.377974562
437,2.753333333,2.753333333,2.753333333,4.990119982,1.238368566,2.008192032
159,0.512666667,0.512666667,0.512666667,0.74148421,0.397943507,0.42265642
519,0.481333333,0.481333333,0.481333333,0.615677944,0.391191186,0.383227112
4090,0.746666667,0.746666667,0.746666667,1.115252109,0.550309604,0.596359252
389,0.74,0.74,0.74,1.118320741,0.529477959,0.618588847
430,1.4,1.4,1.4,2.288881625,0.814697639,1.066036952
1190,2.106666667,2.106666667,2.106666667,3.656497782,1.115522947,1.555463425
53.1,3.006666667,3.006666664,3.006666665,5.488094356,1.112325195,2.407591718
2380,1.426666667,1.426666667,1.426666667,2.340353134,0.834867108,1.103481594
62.3,2.566666667,2.566666667,2.566666667,4.449100193,1.153595233,2.053611533
1.16,0.109101269,0.098592025,0.097693294,0.284718851,-0.018797373,0.143328465
3070,1.113333333,1.113333333,1.113333333,1.769879403,0.700264526,0.871237854
4560,0.638,0.638,0.638,0.893640835,0.500895488,0.523082331
745,0.746666667,0.746666667,0.746666667,1.156807763,0.52418689,0.600382118
1600,1.846666667,1.846666667,1.846666667,3.131397848,1.019253098,1.381122994
85.7,2.393333333,2.393333333,2.393333333,4.097607819,1.165397448,1.954477774
14.8,3.826667712,3.826631063,3.826632108,9.140265409,0.352107416,2.008872283
1440,0.846666667,0.846666667,0.846666667,1.333596525,0.566580651,0.641145436
13.1,3.260000122,3.259999686,3.259999809,8.034876675,0.284620284,1.514600082
3200,1.06,1.06,1.06,1.675987544,0.677900739,0.828886107
