Title,RPI: food: cereals (Jan 1987=100),,,,,,
CDID,DOAB,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Yearly,,,Quarterly,
Date,Cereals Price,,Date,Cereals Price,,Date,Cereals Price
01/01/1987,100,,1987,101.9,,Jan-87,100.8
01/02/1987,101,,1988,108.1,,Apr-87,102.5
01/03/1987,101.4,,1989,115.5,,Jul-87,101.9
01/04/1987,102,,1990,123.7,,Oct-87,102.6
01/05/1987,102.5,,1991,131.8,,Jan-88,105.2
01/06/1987,102.9,,1992,135.8,,Apr-88,107.6
01/07/1987,101.8,,1993,139,,Jul-88,108.9
01/08/1987,101.5,,1994,137.6,,Oct-88,110.8
01/09/1987,102.3,,1995,140.3,,Jan-89,113.5
01/10/1987,102.1,,1996,141.6,,Apr-89,115.7
01/11/1987,102.6,,1997,141.5,,Jul-89,115.9
01/12/1987,103,,1998,141.7,,Oct-89,116.8
01/01/1988,103.8,,1999,140.5,,Jan-90,120.4
01/02/1988,105.5,,2000,137.9,,Apr-90,123.4
01/03/1988,106.2,,2001,139.2,,Jul-90,124.8
01/04/1988,107.1,,2002,138.2,,Oct-90,126
01/05/1988,107.8,,2003,140.2,,Jan-91,128.8
01/06/1988,107.8,,2004,140.5,,Apr-91,131.1
01/07/1988,108.3,,2005,144.5,,Jul-91,132.6
01/08/1988,108.6,,2006,144.3,,Oct-91,134.8
01/09/1988,109.9,,2007,148.2,,Jan-92,136.2
01/10/1988,110.5,,2008,167.2,,Apr-92,136
01/11/1988,110.8,,2009,179.8,,Jul-92,136
01/12/1988,111,,2010,182.9,,Oct-92,135
01/01/1989,112.2,,2011,193.2,,Jan-93,135.8
01/02/1989,113.5,,2012,200.9,,Apr-93,139.1
01/03/1989,114.8,,2013,208.6,,Jul-93,141.3
01/04/1989,115.6,,2014,210.7,,Oct-93,139.8
01/05/1989,115.6,,2015,204.6,,Jan-94,138.4
01/06/1989,115.8,,2016,200.4,,Apr-94,137.1
01/07/1989,116.2,,2017,203.5,,Jul-94,137.6
