Title,RPI: food: eggs (Jan 1987=100),,,,,,
CDID,DOAP,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Annual,,,Quaterly,
Date,Eggs Pricing,,Date,Eggs Pricing,,Date,Eggs Pricing
01/01/1987,100,,1987,104,,Jan-87,100.5
01/02/1987,100.1,,1988,106,,Apr-87,105.5
01/03/1987,101.4,,1989,107.3,,Jul-87,103.2
01/04/1987,107.2,,1990,115.8,,Oct-87,106.7
01/05/1987,105.1,,1991,111.4,,Jan-88,110
01/06/1987,104.2,,1992,115.4,,Apr-88,107.6
01/07/1987,103,,1993,121.7,,Jul-88,101.9
01/08/1987,101.5,,1994,128.6,,Oct-88,104.7
01/09/1987,105.1,,1995,133.7,,Jan-89,102.2
01/10/1987,103.2,,1996,148.8,,Apr-89,104.4
01/11/1987,107.7,,1997,147.1,,Jul-89,108.3
01/12/1987,109.2,,1998,145.7,,Oct-89,114.1
01/01/1988,110.7,,1999,150.9,,Jan-90,117.9
01/02/1988,110.6,,2000,152.7,,Apr-90,117.4
01/03/1988,108.7,,2001,152.5,,Jul-90,114.8
01/04/1988,110.5,,2002,148.5,,Oct-90,113.1
01/05/1988,108,,2003,150.9,,Jan-91,114.2
01/06/1988,104.2,,2004,158.5,,Apr-91,110.6
01/07/1988,102.4,,2005,160.6,,Jul-91,106
01/08/1988,101.7,,2006,164.7,,Oct-91,114.7
01/09/1988,101.5,,2007,194.2,,Jan-92,118.5
01/10/1988,102.8,,2008,245.9,,Apr-92,115.1
01/11/1988,104.9,,2009,255.1,,Jul-92,112
01/12/1988,106.4,,2010,264.1,,Oct-92,116
01/01/1989,103.7,,2011,266.7,,Jan-93,116.4
01/02/1989,102,,2012,262.6,,Apr-93,117.9
01/03/1989,101,,2013,259.1,,Jul-93,125.1
01/04/1989,101,,2014,252,,Oct-93,127.3
01/05/1989,105,,2015,230.9,,Jan-94,126.2
01/06/1989,107.3,,2016,211.7,,Apr-94,128.4
01/07/1989,106.3,,2017,209.6,,Jul-94,128.3
