Title,RPI: food: fruit (Jan 1987=100),,,,,,
CDID,DOBB,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Annual,,,Quarterly,
Date,Fruit Pricing,,Date,Fruit Pricing,,Date,Fruit Pricing
01/01/1987,100,,1987,101.8,,Jan-87,101.4
01/02/1987,101.8,,1988,105.2,,Apr-87,104.4
01/03/1987,102.4,,1989,105.2,,Jul-87,101.1
01/04/1987,102.7,,1990,118.4,,Oct-87,100.2
01/05/1987,105.5,,1991,131.2,,Jan-88,103.1
01/06/1987,104.9,,1992,124.3,,Apr-88,107.3
01/07/1987,101.8,,1993,117.3,,Jul-88,108
01/08/1987,103.6,,1994,119.7,,Oct-88,102.5
01/09/1987,98,,1995,125.2,,Jan-89,105.3
01/10/1987,100.6,,1996,128.8,,Apr-89,109.3
01/11/1987,99.3,,1997,131.8,,Jul-89,104.4
01/12/1987,100.7,,1998,134.1,,Oct-89,102
01/01/1988,101.3,,1999,132.7,,Jan-90,113.1
01/02/1988,104.1,,2000,133.4,,Apr-90,122.3
01/03/1988,104,,2001,144.7,,Jul-90,120.6
01/04/1988,105.3,,2002,146.2,,Oct-90,117.7
01/05/1988,106.1,,2003,148.4,,Jan-91,123.3
01/06/1988,110.5,,2004,143.7,,Apr-91,130.5
01/07/1988,111.5,,2005,145.8,,Jul-91,137.4
01/08/1988,107.5,,2006,147.5,,Oct-91,133.4
01/09/1988,105.1,,2007,150,,Jan-92,133.4
01/10/1988,103.2,,2008,160.1,,Apr-92,132.3
01/11/1988,101.5,,2009,168.2,,Jul-92,116.9
01/12/1988,102.8,,2010,181.6,,Oct-92,114.7
01/01/1989,106.1,,2011,188.6,,Jan-93,116
01/02/1989,104.8,,2012,193.1,,Apr-93,120
01/03/1989,104.9,,2013,208.5,,Jul-93,120.9
01/04/1989,106.5,,2014,209.4,,Oct-93,112.4
01/05/1989,109.9,,2015,209.8,,Jan-94,114.9
01/06/1989,111.5,,2016,211.9,,Apr-94,122.3
01/07/1989,109,,2017,218.3,,Jul-94,122.1
