Title,RPI: food: poultry (Jan 1987=100),,,,,,
CDID,DOAI,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Annual,,,Quarterly,
Date,Price Poultry,,Date,Price Poultry,,Date,Price Poultry
01/01/1987,100,,1987,102.5,,Jan-87,101
01/02/1987,102.1,,1988,101.6,,Apr-87,101.7
01/03/1987,100.9,,1989,104.4,,Jul-87,103.9
01/04/1987,102.6,,1990,115.9,,Oct-87,103.5
01/05/1987,100.4,,1991,114.9,,Jan-88,101.2
01/06/1987,102.2,,1992,111.4,,Apr-88,101.2
01/07/1987,103.9,,1993,110.2,,Jul-88,101.8
01/08/1987,103.3,,1994,107.8,,Oct-88,102
01/09/1987,104.5,,1995,106.1,,Jan-89,101.6
01/10/1987,104.5,,1996,112.1,,Apr-89,102.2
01/11/1987,103.3,,1997,112.5,,Jul-89,105.7
01/12/1987,102.6,,1998,111.1,,Oct-89,108.2
01/01/1988,101.5,,1999,110.2,,Jan-90,112.1
01/02/1988,100.2,,2000,107.4,,Apr-90,114.8
01/03/1988,101.9,,2001,110.4,,Jul-90,118.7
01/04/1988,100.7,,2002,108.1,,Oct-90,118.1
01/05/1988,101.4,,2003,109.9,,Jan-91,116.6
01/06/1988,101.5,,2004,118.2,,Apr-91,115.3
01/07/1988,101.8,,2005,113.4,,Jul-91,115.1
01/08/1988,101.6,,2006,109.3,,Oct-91,112.6
01/09/1988,102.1,,2007,113.2,,Jan-92,112.3
01/10/1988,101.2,,2008,128.3,,Apr-92,110.7
01/11/1988,102.7,,2009,130.9,,Jul-92,112.2
01/12/1988,102,,2010,130.9,,Oct-92,110.5
01/01/1989,102.2,,2011,138.4,,Jan-93,109.3
01/02/1989,100.9,,2012,139.8,,Apr-93,110.8
01/03/1989,101.6,,2013,145.2,,Jul-93,111
01/04/1989,101.8,,2014,144.6,,Oct-93,109.7
01/05/1989,101.5,,2015,136.2,,Jan-94,109.6
01/06/1989,103.4,,2016,127.5,,Apr-94,110
01/07/1989,104.6,,2017,125.3,,Jul-94,108.6
