Title,RPI: food: sugar & preserves (Jan 1987=100),,,,,,
CDID,DOAV,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Annual,,,Quarterly,
Date,Price Sugar,,Date,Price Sugar,,Date,Price Sugar
01/01/1987,100,,1987,103.3,,Jan-87,100.4
01/02/1987,100.4,,1988,110.2,,Apr-87,102.1
01/03/1987,100.7,,1989,117.4,,Jul-87,104.2
01/04/1987,101.3,,1990,127,,Oct-87,106.4
01/05/1987,102.3,,1991,137.5,,Jan-88,108.2
01/06/1987,102.7,,1992,137.5,,Apr-88,110
01/07/1987,103,,1993,146.3,,Jul-88,110.6
01/08/1987,104.1,,1994,142,,Oct-88,111.9
01/09/1987,105.4,,1995,149.3,,Jan-89,114.7
01/10/1987,105.9,,1996,157.3,,Apr-89,116.2
01/11/1987,106.3,,1997,155.6,,Jul-89,118.1
01/12/1987,107,,1998,148.7,,Oct-89,120.7
01/01/1988,107.6,,1999,140.5,,Jan-90,122
01/02/1988,107.6,,2000,133.1,,Apr-90,123.8
01/03/1988,109.3,,2001,134.1,,Jul-90,129.9
01/04/1988,109.8,,2002,137.8,,Oct-90,132.3
01/05/1988,110.1,,2003,144.1,,Jan-91,135.1
01/06/1988,110.1,,2004,151.2,,Apr-91,136.7
01/07/1988,110.7,,2005,154,,Jul-91,139.1
01/08/1988,110.5,,2006,157.1,,Oct-91,139
01/09/1988,110.7,,2007,163.7,,Jan-92,138.9
01/10/1988,111.5,,2008,172.8,,Apr-92,137.5
01/11/1988,112,,2009,195.7,,Jul-92,136.5
01/12/1988,112.1,,2010,198.3,,Oct-92,137
01/01/1989,114.2,,2011,205.1,,Jan-93,144
01/02/1989,114.8,,2012,210.7,,Apr-93,147.9
01/03/1989,115,,2013,211.6,,Jul-93,148
01/04/1989,116.1,,2014,199.7,,Oct-93,145.4
01/05/1989,116.1,,2015,183.6,,Jan-94,144.5
01/06/1989,116.3,,2016,180,,Apr-94,144.2
01/07/1989,117.6,,2017,189.9,,Jul-94,142.8
