Title,RPI: food: vegetables (Jan 1987=100),,,,,,
CDID,DOAZ,,,,,,
Source dataset ID,MM23,,,,,,
PreUnit,,,,,,,
Unit,"Index, base year = 100",,,,,,
Release date,14/02/2024,,,,,,
Next release,20-Mar-24,,,,,,
Monthly,,,Annual,,,Quarterly,
Date,Price Veg,,Date,Price Veg,,Date,Price Veg
01/01/1987,100,,1987,102.5,,1987 Q1,103.6
01/02/1987,105.5,,1988,105,,1987 Q2,108.7
01/03/1987,105.3,,1989,108.5,,1987 Q3,97.2
01/04/1987,110.4,,1990,117.4,,1987 Q4,100.3
01/05/1987,113.5,,1991,120.5,,1988 Q1,109.4
01/06/1987,102.2,,1992,110.8,,1988 Q2,110.7
01/07/1987,96.3,,1993,109.8,,1988 Q3,97.1
01/08/1987,98.2,,1994,112.3,,1988 Q4,102.8
01/09/1987,97.1,,1995,120,,1989 Q1,110.5
01/10/1987,98.1,,1996,121.1,,1989 Q2,110.7
01/11/1987,99.2,,1997,115.3,,1989 Q3,101.2
01/12/1987,103.7,,1998,118.6,,1989 Q4,111.7
01/01/1988,105,,1999,113.3,,1990 Q1,122
01/02/1988,110.2,,2000,110.8,,1990 Q2,120.2
01/03/1988,112.9,,2001,123.1,,1990 Q3,108.9
01/04/1988,114.2,,2002,124.8,,1990 Q4,118.5
01/05/1988,110.5,,2003,131.9,,1991 Q1,129
01/06/1988,107.5,,2004,126,,1991 Q2,124.2
01/07/1988,97.2,,2005,134.9,,1991 Q3,112.5
01/08/1988,96.5,,2006,136.9,,1991 Q4,116.4
01/09/1988,97.5,,2007,151.7,,1992 Q1,122.2
01/10/1988,99.9,,2008,164,,1992 Q2,112.9
01/11/1988,102.6,,2009,175,,1992 Q3,99.5
01/12/1988,105.8,,2010,179.4,,1992 Q4,108.8
01/01/1989,108.3,,2011,183.3,,1993 Q1,121
01/02/1989,110.7,,2012,188,,1993 Q2,112.3
01/03/1989,112.6,,2013,192.6,,1993 Q3,101.3
01/04/1989,114.2,,2014,182.3,,1993 Q4,104.6
01/05/1989,110.4,,2015,176.9,,1994 Q1,112.6
01/06/1989,107.5,,2016,168.1,,1994 Q2,117.1
